,Fitness,Potencia
0,899.5,350.0
1,899.5,340.383436925
2,921.6180950725002,332.76090934328147
3,939.1499085104526,329.17271479538977
4,947.4027559706037,318.17736635575636
5,972.6920573817604,304.20039085084534
6,1004.8391010430557,295.33386046001704
7,1025.2321209419608,293.4822517221083
8,1029.490821039151,294.21323031265183
9,1027.809570280901,295.18296531335506
10,1025.5791797792835,295.9650126436725
11,1023.7804709195534,296.55380825805537
12,1022.4262410064725,296.9981346377036
13,1021.404290333282,297.33714079466023
14,1020.6245761722816,297.6020448816116
15,1020.0152967722934,297.81369590190553
16,1019.5284994256174,297.9887719393441
17,1019.1258245395088,298.1335460931379
18,1018.7928439857828,298.2568825552197
19,1018.5091701229949,298.36217676665024
20,1018.2669934367045,298.45306011775676
21,1018.0579617291596,298.5322361584433
22,1017.8758568355804,298.60228922075737
23,1017.7147347922582,298.6632432059232
24,1017.5745406263768,298.7174103374155
25,1017.4499562239444,298.7656617909607
26,1017.3389778807905,298.8292072644843
27,1017.1928232916862,298.86406178355116
28,1017.1126578978324,298.8956789191781
29,1017.0399384858904,298.9243725251917
30,1016.9739431920591,298.94535308092645
31,1016.9256879138693,298.95258728167255
32,1016.9090492521532,298.96069097395207
33,1016.8904107599103,298.96899034989923
34,1016.8713221952319,298.97691127427737
35,1016.8531040691621,298.98411014058433
36,1016.8365466766561,298.9903758686217
37,1016.8221355021701,299.0064113677549
38,1016.7852538541638,299.00879898876036
39,1016.7797623258512,299.0261965677272
40,1016.7397478942275,299.0337277642102
41,1016.7224261423166,299.044388878215
42,1016.6979055801057,299.04805255505875
43,1016.6894791233649,299.0502901299023
44,1016.6843327012248,299.0506549219992
45,1016.6834936794021,299.05382074979156
46,1016.6762122754794,299.05578027316153
47,1016.6717053717284,299.0554168079606
48,1016.6725413416907,299.05433514133443
49,1016.6750291749308,299.05200635185196
50,1016.6803853907404,299.0437560152612
51,1016.6993611648993,299.03556472036263
52,1016.718201143166,299.0272114813554
53,1016.7374135928826,299.01860653405697
54,1016.7572049716691,299.0135667281183
55,1016.7687965253281,299.0076451519327
56,1016.7824161505548,299.0007768483385
57,1016.7982132488214,298.99282069423776
58,1016.8165124032532,298.98426659056685
59,1016.8361868416964,298.97517663283134
60,1016.8570937444879,298.9656072793678
61,1016.8791032574541,298.95560798580993
62,1016.9021016326374,298.94521022881526
63,1016.926016473725,298.9339290947746
64,1016.9519630820184,298.9233999947494
65,1016.9761800120764,298.9125246902526
66,1017.0011932124189,298.9013397403393
67,1017.0269185972197,298.8898834909216
68,1017.0532679708804,298.87818868930236
